"Activity" "SubjectID" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"LAYING" 25 -0.451536194029851 -0.516999345373134 -0.234817039132836 0.187019507829851 -0.0513965614059702 0.0436239836091045 -0.0341230091791045 -0.364875883613433 0.267499919207463 -0.752865266716418 -0.909909554925373 -0.965853165970149 -0.604586000298508 -0.779644098955224 -0.554693565671642 0.203399072776119 -0.818006737761194 -0.807960198507463 -0.43525080158209 -0.750957549701493 -0.503176184477612 -0.781517392835821 -0.841544672238806 -0.787158197462687 -0.986169198955224 -0.895571310895522 -0.911957707462687 -0.724838316567164 -0.828591569701493 -0.90969462119403 -0.774822604776119 -0.787108627462687 -0.956581655373134 -0.989277795074627 -0.114722321801343 -0.911921959104478 -0.959954446268657 -0.308711959208955 -0.800046550597015 -0.917090212985075 0.0466790853059701 -0.967471422238806 -0.944533584477612 -0.460296284328358 0.870277679253731 -0.948983015373134 0.593461229402985 0.72409658880597 -0.541753431492537 0.165043206838806 -0.162908714165672 -0.0239787380373134 -0.132826326702985 0.133999507962687 -0.0744054732537313 -0.473147159850746 0.343783595597015 -0.165494990458209 0.0816716227761194 -0.114724830571343 -0.29656572622 0.434056515223881 -0.0126560317059701 -0.114935814892537 0.111796073791045 0.0383871589313433
"LAYING" 26 -0.774578088877551 -0.776902923813775 -0.694597662936224 -0.109397743911224 0.14930510576227 -0.0784602919170918 -0.283534666948724 -0.595065503384439 -0.172432413919872 -0.918788209413265 -0.907306328357143 -0.965721618061224 -0.809889275076531 -0.903145933571429 -0.703375588430867 -0.294306070216837 -0.796412111857143 -0.778741496489796 -0.6803580612 -0.78604912494898 -0.649097075655357 -0.802049108571429 -0.893812107903061 -0.889110600818877 -0.985988279183673 -0.876794647244898 -0.911422488086735 -0.861202029515306 -0.89633984207398 -0.891560418494898 -0.824307733640306 -0.882897915467092 -0.960107841147959 -0.978849059311224 -0.609298316453316 -0.904018959311224 -0.949119517015306 -0.703109561068878 -0.860105584996174 -0.895594015306122 0.234107010472449 -0.96781789994898 -0.959713562227041 -0.156243627512755 0.442228849897959 -0.68111755622449 0.74492921269898 0.769803657933673 -0.691900769118622 0.130315009880281 0.0682550030841837 0.170672343742781 0.0653791454368827 -0.0146691799545918 0.0589517802997449 -0.0887050039689286 0.0277189735538265 0.0847162324253316 0.181177771187321 -0.0827415060904082 -0.66209111408699 0.597543469285714 0.0360810575897704 -0.0988125627461224 -0.227341339871048 0.17910999429676
"LAYING" 27 -0.778036291893617 -0.782363344595745 -0.694016019806117 -0.166716317776064 0.184187760906117 -0.103564766894149 -0.147025943543883 -0.46390540715133 -0.261537982166782 -0.962491154441489 -0.958307067553192 -0.981024842952128 -0.842122981808511 -0.882599120132979 -0.705921570025612 -0.308621781505319 -0.702470829345745 -0.747517729460106 -0.675744794384308 -0.797303408218085 -0.66534962297234 -0.808872603351064 -0.909370146090426 -0.887589537848404 -0.989363864893617 -0.890245686329787 -0.902819888138298 -0.910420987925532 -0.932137031675532 -0.828233923441489 -0.85023042268617 -0.929018605478723 -0.976513146329787 -0.981714899867021 -0.598071611528723 -0.905785494654255 -0.942123935531915 -0.768505711292553 -0.864262356515957 -0.921290265984043 0.14116869604876 -0.974620173404255 -0.972505174787234 -0.0866427569832447 0.422733475079787 -0.80617265837766 0.735109023893617 0.754816576887234 -0.697999723369681 0.164192843783245 0.039344612513641 0.169414370525904 0.0222848626085106 0.0187320656728723 0.139161387816915 0.0296172377837766 -0.0423856491867021 0.0929265238409308 0.168278659931117 -0.0552177945716489 -0.731695868771277 0.59097986687766 -0.0171226285956383 -0.0893066039356303 -0.279924905694362 0.198559466264231
"LAYING" 28 -0.735457688019895 -0.771573643939712 -0.648538641430367 -0.00129209649458115 0.116415811242277 -0.0645200858246073 -0.217733984237304 -0.539380883164869 -0.230236887436911 -0.884880079740838 -0.933502231020942 -0.963222932696335 -0.805693073612565 -0.897309217225131 -0.675518423396021 -0.220797687070681 -0.76912683545288 -0.82914485089267 -0.654855915271466 -0.821715494424084 -0.641088675957592 -0.842505616780105 -0.878590345502618 -0.872938222670157 -0.984546688403141 -0.888500563769633 -0.884081285513089 -0.88377184452356 -0.872823976256545 -0.871080303945026 -0.845588774882723 -0.859502187664921 -0.957306518612565 -0.978934952251309 -0.54160359258534 -0.892977687120419 -0.944271882303665 -0.674356656020942 -0.839441227099476 -0.93174933395288 -0.0469931021049738 -0.973873328062827 -0.960365626256545 -0.0154804972890052 0.418582850706806 -0.833346935680628 0.719822593575916 0.773642596041885 -0.688615568571361 0.181576331837958 0.089096724321466 0.110983758016466 -0.0119700443981675 0.116669489774424 0.0770168929348168 -0.116681510362063 0.0534295577782199 0.0577713161180628 0.137532567422723 -0.0471474023101021 -0.648741439312565 0.614811363002618 -0.0736535234359948 -0.0881213551172775 -0.131792897832199 0.130851834719084
"LAYING" 29 -0.701149027537791 -0.726450912982558 -0.602228993700349 -0.0546547989916279 0.12763557180814 -0.0762147465662791 -0.261833030547093 -0.565409110432849 -0.0435101954069767 -0.914332844796512 -0.93433443255814 -0.953875333430233 -0.821859339651163 -0.82157670431657 -0.625457112350291 -0.291749813436047 -0.708927230813953 -0.750581394787791 -0.655526116655523 -0.818292780813954 -0.577602993320058 -0.843487980145349 -0.869577431249709 -0.863102176651163 -0.982930431889535 -0.856775323982558 -0.84575666380814 -0.896920142790698 -0.912524043284884 -0.843559438367151 -0.788964107343866 -0.894455170697674 -0.946839340552326 -0.992674310523256 -0.538620325976802 -0.852706544427326 -0.937440290261628 -0.685747413486628 -0.855761416366279 -0.939220168866279 0.208215370043721 -0.973282885843023 -0.964643161017442 -0.28104840652907 0.477045452063953 -0.706532947325581 0.671805563284273 0.742554426175581 -0.667856839605233 0.140428919555 0.0482901026771512 0.141490409859215 0.124320382060465 0.0695980415567442 0.00303632484052326 0.021371378078314 -0.0538378575502907 0.0939323426265116 0.134160801524971 -0.0882883296441861 -0.633555073215116 0.601527227895349 0.0231991166276453 -0.100707751809855 -0.213607182680814 0.175164671322442
"LAYING" 30 -0.637255724762402 -0.660263364515901 -0.510032754098198 0.0422555943245953 0.0463429788374674 0.0486629021589034 0.00701307794793734 -0.311689143674674 -0.108700318394909 -0.941132717937337 -0.953637330678851 -0.981708174360313 -0.791940214778068 -0.786025943577023 -0.667944469343864 -0.170125659896606 -0.770234985694517 -0.827502175509138 -0.672622022924282 -0.807184940939948 -0.63415407270235 -0.835209677963446 -0.887204011747258 -0.867475085686684 -0.988001433629243 -0.901295791618799 -0.9103838845953 -0.867821335013055 -0.910790167493473 -0.896711924386423 -0.849567349263708 -0.902334123342037 -0.977205112402089 -0.983022348720627 -0.393812416845953 -0.921145502114883 -0.940818814464752 -0.667418236692689 -0.873039575848564 -0.922870858198433 0.184343178348037 -0.974319118563969 -0.952288292767624 -0.271152540078329 0.490312232820627 -0.751769094543081 0.744749429347259 0.770899324814621 -0.693510970524282 0.136335329583238 -0.0140459172257702 0.106585725277728 0.0420450784575457 0.0300062593481462 0.0134706656739164 -0.157209785756136 0.0755086924927415 0.0246006219916005 0.121794038571279 -0.0717482452402089 -0.635463718389034 0.46385885128564 -0.0721666283201828 -0.0926769005274151 -0.109714856026371 0.16717148871906
"SITTING" 8 -0.548724418567598 -0.55463992472514 -0.384089748443911 -0.0523283210119274 0.0518890356256983 -0.0041600573301676 -0.128107127017989 -0.448660949675978 -0.185249121694972 -0.84828830178771 -0.890990833687151 -0.960999734469274 -0.491462550357542 -0.645243498502793 -0.491291933392179 -0.00604457093463687 -0.785546943296089 -0.760148975586592 -0.386874590900559 -0.615102142452514 -0.423841551334078 -0.65730228647486 -0.840876783407821 -0.760307495088827 -0.974526438826816 -0.832003932625698 -0.66332339323743 -0.740665006815643 -0.695978438597765 -0.669928900731844 -0.777336365027933 -0.656979137112849 -0.953882240837989 -0.914077631675978 -0.399626839195531 -0.670047104794972 -0.840719548379888 -0.563925454569832 -0.609701085513967 -0.803828778100559 0.0331423877814525 -0.942988336793296 -0.944310386480447 -0.0690392397077095 0.444380662011173 -0.899240033128492 0.551004117994413 0.579729228578771 -0.433645856078156 0.161464871649162 0.104766030555531 0.0245328493011173 -0.0366513383597765 0.0350029042318436 -0.0112855957340782 -0.0145293024047486 -0.010147889517648 0.0730547797111732 0.0540613792955307 -0.103746700655866 -0.516966652436871 0.38655193189614 -0.076134565873743 -0.105480277744693 -0.0645945147189944 0.273826776941341
"SITTING" 11 -0.739602743291139 -0.752219323110759 -0.628367851066456 0.0364803152389241 0.0451834935132911 -0.00977386751806962 -0.203724480994304 -0.521735685486392 -0.120788686632595 -0.935049212056962 -0.947248014841772 -0.985336061772152 -0.756103586648734 -0.886941594208861 -0.669953699616772 -0.287494694875348 -0.756022865193038 -0.762236286572785 -0.609444998247785 -0.858259630601266 -0.617363508528038 -0.871114281962025 -0.880451309009494 -0.862986742120253 -0.986057668259494 -0.884710621772152 -0.89761019528481 -0.818301606471519 -0.878126742341772 -0.863057593639241 -0.818923799781646 -0.84956313835443 -0.982681664905063 -0.991625205537975 -0.380367647836392 -0.890265179778481 -0.972062371139241 -0.709949332117089 -0.828192575316456 -0.9697589375 0.140209861246835 -0.975394457689873 -0.957138770727848 -0.129414660667025 0.487171844588608 -0.585431775379747 0.678480001797468 0.819496687594937 -0.681406414705696 0.135703949862658 0.0680387873485759 0.127559602941076 -0.0111368582653481 0.103947376274747 -0.0574716329043671 -0.0525537424451899 0.0121828328955696 0.0563256165338608 0.113633305760475 -0.0582275770813291 -0.665772907132278 0.599227670727848 0.032968159543038 -0.0805473309873418 -0.228439052160759 0.0963355703616456
"SITTING" 14 -0.520180425120743 -0.640484962840062 -0.416459776709257 0.0565347190447678 0.100577205992879 -0.0669493231018576 -0.129304275939628 -0.468600065801858 -0.0959247676176471 -0.945974113188854 -0.967574821331269 -0.981552178575851 -0.630567769106192 -0.518007252187926 -0.66665828664644 -0.0309057695541796 -0.794067710733746 -0.869143445470588 -0.60215894382322 -0.694424996467802 -0.600606911353622 -0.729812864578947 -0.884534055882353 -0.848188067285666 -0.98779506879257 -0.859638520464396 -0.909255042393189 -0.77415860220743 -0.841373100455108 -0.89418722631579 -0.847942508885449 -0.808487482498452 -0.97613319749226 -0.960146167182663 -0.423471380898142 -0.915108201897833 -0.873936713142415 -0.699166400749226 -0.81009631745418 -0.786022956698452 -0.161179728291022 -0.941245714736842 -0.942377305312693 0.330634172593808 0.332365096767802 -0.835308843962848 0.67233661155356 0.648661598256966 -0.5962958681613 0.057358086909195 -0.039512430526935 0.235012560175851 0.185101711009288 0.104687025208359 0.159278835044706 -0.185484499314458 0.0883599612686997 0.0717419815318885 0.19736918804582 -0.0954921154823529 -0.642392435801858 0.349418077100929 0.0858666653960991 -0.107556127062003 -0.0212492027377709 0.185899406961858
"SITTING" 15 -0.718237908323171 -0.740510097194817 -0.617721779796037 0.00217799751542683 0.120304321631494 -0.0542745147657591 -0.175199887695396 -0.510678643560976 -0.115882681777134 -0.861991298719512 -0.947757718170732 -0.973493451707317 -0.720028204019207 -0.909260578841463 -0.649978043471951 -0.270264213371951 -0.730920533792683 -0.798577234807927 -0.605854882622652 -0.845111060762195 -0.582330972143293 -0.860635500987805 -0.870190928164634 -0.856267539268902 -0.984915539054878 -0.822178687580793 -0.890009682103658 -0.821241737768293 -0.838282517134146 -0.865767347957317 -0.759616891782622 -0.789229396334451 -0.968329537652439 -0.988803907103659 -0.522679370838415 -0.884616388170732 -0.948721166966463 -0.664354428856402 -0.803607248146341 -0.950516350670732 0.0372897701757012 -0.968733398628049 -0.956369493993902 -0.176426861919817 0.437718386859756 -0.563411485609756 0.693325130112195 0.804085777490854 -0.659094619222561 0.139687815535549 0.0445129482425305 0.200712528032317 0.133077939807622 -0.0612293723181402 -0.056824936110061 -0.0895921004802744 0.0255347052070427 0.0955136437639329 0.184587051247256 -0.075878845519878 -0.639208833152439 0.611406487628049 0.0229814653250915 -0.0960910108539634 -0.164916707583232 0.215225664126829
